Tipo,Materiale,Orifizio (mm),Codice
TEI-M4,Acciaio,"0,6",85990.060
TEI-M4,Acciaio,"0,8",85990.080
TEI-M4,Acciaio,1,85990.10
TEI-M4,Acciaio,"1,2",85990.12
TEI-M4,Acciaio,"1,4",85990.14
TEI-M4,Acciaio,"1,6",85990.16
TEI-M4,Acciaio,"1,8",85990.18
TEI-M6,Acciaio,"0,6",85992.060
TEI-M6,Acciaio,"0,8",85992.080
TEI-M6,Acciaio,1,85992.10
TEI-M6,Acciaio,"1,2",85992.12
TEI-M6,Acciaio,"1,4",85992.14
TEI-M6,Acciaio,"1,6",85992.16
TEI-M6,Acciaio,"1,8",85992.18
TEI-M6,Acciaio,2,85992.20
TEI-M6,Acciaio,"2,2",85992.22
TEI-M6,Acciaio,"2,4",85992.24
TEI-M6,Acciaio,"2,6",85992.26
TEI-M6,Acciaio,"2,8",85992.28
TEI-M6,Acciaio,3,85992.30
TEI-M6C,Ceramica,"0,6",85993.060
TEI-M6C,Ceramica,"0,8",85993.080
TEI-M6C,Ceramica,1,85993.10
TEI-M6C,Ceramica,"1,2",85993.12
TEI-M6C,Ceramica,"1,4",85993.14
TEI-M6C,Ceramica,"1,6",85993.16
TEI-M6C,Ceramica,"1,8",85993.18
TEI-M6C,Ceramica,2,85993.20
TEI-M6C,Ceramica,"2,2",85993.22
TEI-M6C,Ceramica,"2,4",85993.24
TEI-M6C,Ceramica,"2,6",85993.26
TEI-M8,Ceramica,"0,8",85994.080
TEI-M8,Ceramica,1,85994.10
TEI-M8,Ceramica,"1,2",85994.12
TEI-M8,Ceramica,"1,4",85994.14
TEI-M8,Ceramica,"1,6",85994.16
TEI-M8,Ceramica,"1,8",85994.18
TEI-M8,Ceramica,2,85994.20
TEI-M8,Ceramica,"2,2",85994.22
TEI-M8,Ceramica,"2,4",85994.24
TEI-M8,Ceramica,"2,6",85994.26
TEI-M10,Ceramica,1,85995.10
TEI-M10,Ceramica,"1,2",85995.12
TEI-M10,Ceramica,"1,4",85995.14
TEI-M10,Ceramica,"1,6",85995.16
TEI-M10,Ceramica,"1,8",85995.18
TEI-M10,Ceramica,2,85995.20
TEI-M10,Ceramica,"2,2",85995.22
TEI-M10,Ceramica,"2,4",85995.24
TEI-M10,Ceramica,"2,6",85995.26
TEI-M10,Ceramica,"2,8",85995.28
TEI-M10,Ceramica,"3,1",85995.31
TEI-M10,Ceramica,"3,4",85995.34
TEI-M10,Ceramica,4,85995.40
TEI-M10x1,Ceramica,1,85997.10
TEI-M10x1,Ceramica,"1,2",85997.12
TEI-M10x1,Ceramica,"1,4",85997.14
TEI-M10x1,Ceramica,"1,6",85997.16
TEI-M10x1,Ceramica,"1,8",85997.18
TEI-M10x1,Ceramica,2,85997.20
TEI-M10x1,Ceramica,"2,2",85997.22
TEI-M10x1,Ceramica,"2,4",85997.24
TEI-M10x1,Ceramica,"2,6",85997.26
TEI-M10x1,Ceramica,"2,8",85997.28
TEI-M10x1,Ceramica,"3,1",85997.31
TEI-M10x1,Ceramica,"3,4",85997.34
TEI-M10x1,Ceramica,4,85997.40
M12,Ceramica,1,85996.10
M12,Ceramica,"1,2",85996.12
M12,Ceramica,"1,4",85996.14
M12,Ceramica,"1,6",85996.16
M12,Ceramica,"1,8",85996.18
M12,Ceramica,2,85996.20
M12,Ceramica,"2,2",85996.22
M12,Ceramica,"2,4",85996.24
M12,Ceramica,"2,6",85996.26
M12,Ceramica,"2,8",85996.28
M12,Ceramica,"3,1",85996.31
M12,Ceramica,"3,4",85996.34
M12,Ceramica,4,85996.40
TEE-M6,Ceramica,"0,6",85511.060
TEE-M6,Ceramica,"0,8",85511.080
TEE-M6,Ceramica,1,85511.10
TEE-M6,Ceramica,"1,2",85511.12
TEE-M6,Ceramica,"1,4",85511.14
TEE-M6,Ceramica,"1,6",85511.16
TEE-M6,Ceramica,"1,8",85511.18
TEE-M6,Ceramica,2,85511.20
TEE-M6,Ceramica,"2,2",85511.22
TEE-M6,Ceramica,"2,4",85511.24
TEE-M6,Ceramica,"2,6",85511.26
TEE-M10x1,Ceramica,1,85510.10
TEE-M10x1,Ceramica,"1,2",85510.12
TEE-M10x1,Ceramica,"1,4",85510.14
TEE-M10x1,Ceramica,"1,6",85510.16
TEE-M10x1,Ceramica,"1,8",85510.18
TEE-M10x1,Ceramica,2,85510.20
TEE-M10x1,Ceramica,"2,2",85510.22
TEE-M10x1,Ceramica,"2,4",85510.24
TEE-M10x1,Ceramica,"2,6",85510.26
TEE-M10x1,Ceramica,"2,8",85510.28
TEE-M10x1,Ceramica,"3,1",85510.31
TEE-1/4,Ceramica,"3,4",85510.34
TEE-1/4,Ceramica,4,85510.40
TEE-1/4,Ceramica,1,85506.10
TEE-1/4,Ceramica,"1,2",85506.12
TEE-1/4,Ceramica,"1,4",85506.14
TEE-1/4,Ceramica,"1,6",85506.16
TEE-1/4,Ceramica,"1,8",85506.18
TEE-1/4,Ceramica,2,85506.20
TEE-1/4,Ceramica,"2,2",85506.22
TEE-1/4,Ceramica,"2,4",85506.24
TEE-1/4,Ceramica,"2,6",85506.26
TEE-1/4,Ceramica,"2,8",85506.28
TEE-1/4,Ceramica,"3,1",85506.31
TEE-1/4,Ceramica,"3,4",85506.34
TEE-1/4,Ceramica,4,85506.40
TEE-M10x1,Widia,1,85510.W10
TEE-M10x1,Widia,"1,2",85510.W12
TEE-M10x1,Widia,"1,4",85510.W14
TEE-M10x1,Widia,"1,6",85510.W16
TEE-M10x1,Widia,"1,8",85510.W18
TEE-M10x1,Widia,2,85510.W20
TEE-M10x1,Widia,"2,2",85510.W22
TEE-M10x1,Widia,"2,4",85510.W24
TEE-M10x1,Widia,"2,6",85510.W26
TEE-M10x1,Widia,"2,8",85510.W28
TEE-M10x1,Widia,"3,1",85510.W31
TEE-M10x1,Widia,"3,4",85510.W34
TEE-M10x1,Widia,4,85510.W40